Progeny,Sex
48469,M
48480,F
48505,F
48534,M
48546,M
48549,M
48575,M
48583,F
48596,F
48605,M
48644,M
48648,F
48682,F
48713,F
48731,F
48743,F
48756,F
48779,F
48818,F
48831,F
48871,M
48872,F
48881,F
48888,F
48912,F
48915,F
48926,F
48953,M
48955,F
48957,M
48959,M
48962,M
48965,F
48967,F
49026,F
49081,F
49092,M
49096,F
49097,F
49099,F
49100,F
49101,M
49104,M
49107,M
49110,F
49118,M
49148,M
49167,F
49170,F
49195,M
49199,F
49231,M
49236,F
49241,M
49242,F
49249,F
49305,F
49491,F
49506,F
49511,F
49526,F
49536,M
49572,F
49577,F
49636,F
49647,F
49650,F
49672,F
49674,M
49677,M
49679,F
49680,M
49682,M
49684,M
49701,F
49708,F
49727,F
49728,F
49730,M
49744,F
49811,F
49818,F
49911,F
49915,M
49946,M
50018,F
50020,F
50024,F
50075,F
50083,M
50085,M
50086,F
50090,F
50101,F
50133,F
50137,F
50139,F
50141,F
50142,F
50144,F
50146,F
50148,M
50150,M
50152,F
50164,M
50172,F
50173,M
50186,F
50196,M
50200,F
50203,M
50207,F
50243,M
50329,F
50336,F
50338,F
50339,F
50340,F
50350,M
50351,F
50362,F
50422,F
50441,F
50444,F
50471,F
50474,M
50475,F
50581,F
50588,M
50627,M
50637,F
50639,F
50646,F
50752,M
50756,F
50758,M
50769,F
50778,F
50783,M
50796,F
50802,M
50809,M
50810,M
50912,F
50916,M
50921,F
50947,F
50967,F
50972,F
50973,F
50975,M
50976,F
50979,F
50980,F
50981,F
50984,F
50988,F
50995,M
51004,M
51005,F
51006,F
51034,M
51037,F
51051,F
51057,F
51060,F
51092,M
51094,F
51100,F
51101,F
51104,M
51107,M
51108,M
51109,M
51151,M
51152,M
51157,F
51163,M
51166,F
51171,M
51172,M
51174,M
51226,F
51240,F
51249,F
51255,F
51367,F
51372,M
51380,F
51386,M
51403,F
51414,F
51475,F
51491,M
51495,F
51496,F
51497,M
51499,F
51502,M
51503,M
51507,M
51509,M
51511,M
51516,M
51521,M
51606,F
51634,M
51637,M
51642,M
51644,M
51649,F
51654,M
51663,F
51753,M
51765,F
51784,F
51811,F
51814,M
51815,F
51819,F
51821,F
51823,M
51824,M
51831,F
51832,F
51834,F
51836,F
51839,F
51841,F
51847,M
51874,M
51880,F
51887,F
51903,F
51912,M
51913,M
51915,F
51918,F
51919,F
51923,M
51926,M
51929,F
52017,M
52019,F
52060,F
52061,F
52065,F
52070,M
52082,M
52084,F
52086,F
52119,F
52121,F
52123,F
52126,F
52128,F
52129,F
52156,F
52172,F
52173,F
52177,F
52179,F
52182,F
52183,F
52203,F
52215,F
52233,F
52241,F
52271,F
52273,F
52277,F
52279,F
52281,F
52282,F
52284,M
52285,F
52286,F
52287,M
52288,F
52292,F
52304,F
52313,F
52314,M
52316,M
52317,M
52318,M
52320,F
52321,F
52322,F
52324,M
52325,M
52326,F
52327,F
52344,F
52412,F
52415,F
52420,F
52421,M
52423,F
52425,F
52428,F
52437,F
52441,M
52446,F
52495,F
52528,M
52547,F
52573,F
52612,F
52613,M
52630,M
52641,M
52659,M
52674,F
52689,F
52696,F
52705,M
52717,F
52734,F
52799,F
52808,F
52828,F
52829,F
52851,F
52888,F
52894,F
52897,F
52898,M
52901,F
52916,F
52917,F
52918,M
52922,F
52923,F
52991,M
52993,F
52995,M
53003,F
53016,M
53023,M
53030,F
53050,F
53111,F
53117,F
53131,F
53138,M
53142,F
53174,F
53189,F
53198,F
53235,F
53242,F
53244,M
53246,F
53261,F
53272,F
53277,F
53297,F
53328,F
53371,F
53377,F
53479,F
53482,M
53487,M
53488,M
53490,F
53494,F
53506,M
53508,M
53511,M
53519,F
53524,F
53597,M
53679,F
53698,F
53710,F
53725,M
53791,M
53792,M
53795,F
53796,F
53800,M
53801,M
53806,M
53807,F
53857,F
53869,F
53876,F
53883,F
53884,F
53903,F
53904,F
53909,M
53912,F
53914,F
53916,F
53917,F
53921,F
53922,F
53933,F
53934,M
53942,F
53945,F
53950,F
53956,F
53961,F
53967,M
53969,F
54014,F
54016,M
54018,F
54021,F
54024,F
54026,M
54060,M
54061,F
54063,F
54070,F
54091,F
54093,M
54094,F
54098,M
54099,M
54100,M
54102,M
54105,F
54192,F
54223,F
54274,F
54285,F
54289,M
54312,F
54316,M
54321,F
54322,M
54324,F
54327,F
54330,M
54332,M
54333,F
54337,M
54338,F
54340,M
54342,F
54357,F
54399,F
54402,F
54404,F
54408,M
54427,F
